name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
Hidden zZ,13368,677,2024-02-13,200.0,Group Stage,1,159,Monoz,1992,0,153,Fedex,2066,2
Hidden zZ,13369,677,2024-02-16,200.0,Group Stage,1,913,Lucky Rox,2196,2,1201,Mica_,1901,0
Hidden zZ,13370,677,2024-02-23,200.0,Group Stage,1,913,Lucky Rox,2191,2,159,Monoz,2000,0
Hidden zZ,13371,677,2024-02-14,200.0,Group Stage,1,1201,Mica_,1899,1,153,Fedex,2072,2
Hidden zZ,13372,677,2024-02-22,200.0,Group Stage,1,913,Lucky Rox,2190,2,153,Fedex,2070,1
Hidden zZ,13373,677,2024-02-18,200.0,Group Stage,1,1201,Mica_,1899,0,159,Monoz,1986,2
Hidden zZ,13374,677,2024-02-13,200.0,Group Stage,1,1332,Lucho,2021,2,1629,Maes,1900,0
Hidden zZ,13375,677,2024-02-19,200.0,Group Stage,1,1630,Simplik,1903,1,1590,ElMago,1890,2
Hidden zZ,13376,677,2024-02-14,200.0,Group Stage,1,1629,Maes,1894,1,1630,Simplik,1900,2
Hidden zZ,13377,677,2024-02-15,200.0,Group Stage,1,1332,Lucho,2027,2,1590,ElMago,1896,0
Hidden zZ,13378,677,2024-02-22,200.0,Group Stage,1,1629,Maes,1890,1,1590,ElMago,1894,2
Hidden zZ,13379,677,2024-02-18,200.0,Group Stage,1,1630,Simplik,1904,1,1332,Lucho,2033,2
Hidden Cup,222,7,,1440.0,K.O. Phase,1,1,DauT,2077,1,2,miguel,1984,3
Hidden Cup,223,7,,1440.0,K.O. Phase,1,27,Nicov,2102,3,31,TaToH,2154,1
Hidden Cup,224,7,,1440.0,K.O. Phase,1,19,Yo,2153,2,3,RiuT,2207,3
Hidden Cup,225,7,,1440.0,K.O. Phase,1,5,F1Re,2071,3,35,vivi,2072,1
Hidden Cup 2,1312,88,2019-04-12,10200.0,K.O. Phase,1,19,Yo,2140,3,31,TaToH,2180,2
Hidden Cup 2,1313,88,2019-04-12,10200.0,K.O. Phase,1,52,TheMax,2026,3,30,JorDan_23,2102,0
Hidden Cup 2,1314,88,2019-04-12,10200.0,K.O. Phase,1,4,dogao,2065,3,51,Villese,2011,1
Hidden Cup 2,1315,88,2019-04-12,10200.0,K.O. Phase,1,14,ACCM,2039,0,25,Liereyy,2198,3
Hidden Cup 2,1316,88,2019-04-12,10200.0,K.O. Phase,1,24,MbL,2190,3,1,DauT,2117,1
Hidden Cup 2,1317,88,2019-04-12,10200.0,K.O. Phase,1,16,BacT,2128,1,33,Tim,2070,3
Hidden Cup 2,1318,88,2019-04-12,10200.0,K.O. Phase,1,29,TheViper,2340,3,27,Nicov,2096,0
Hidden Cup 2,1319,88,2019-04-12,10200.0,K.O. Phase,1,35,vivi,2076,3,28,Hera,1998,1
Hidden Cup 3,2888,163,2020-03-19,50228.0,K.O. Phase,1,35,vivi,2087,0,25,Liereyy,2175,3
Hidden Cup 3,2889,163,2020-03-19,50228.0,K.O. Phase,1,31,TaToH,2182,3,27,Nicov,2148,1
Hidden Cup 3,2890,163,2020-03-19,50228.0,K.O. Phase,1,5,F1Re,2078,1,1,DauT,2138,3
Hidden Cup 3,2891,163,2020-03-19,50228.0,K.O. Phase,1,28,Hera,2213,3,62,LaaaaaN,2044,1
Hidden Cup 3,2892,163,2020-03-20,50228.0,K.O. Phase,1,29,TheViper,2270,3,14,ACCM,2042,0
Hidden Cup 3,2893,163,2020-03-20,50228.0,K.O. Phase,1,19,Yo,2212,3,51,Villese,2101,2
Hidden Cup 3,2894,163,2020-03-20,50228.0,K.O. Phase,1,16,BacT,2092,0,24,MbL,2167,3
Hidden Cup 3,2895,163,2020-03-20,50228.0,K.O. Phase,1,52,TheMax,2064,0,4,dogao,2070,3
Hidden Cup 4,4756,253,2021-03-18,87240.0,K.O. Phase,1,14,ACCM,2159,3,79,_Barles_,2087,1
Hidden Cup 4,4757,253,2021-03-18,87240.0,K.O. Phase,1,30,JorDan_23,2137,3,24,MbL,2197,1
Hidden Cup 4,4758,253,2021-03-18,87240.0,K.O. Phase,1,55,Vinchester,2211,1,19,Yo,2239,3
Hidden Cup 4,4759,253,2021-03-18,87240.0,K.O. Phase,1,51,Villese,2198,2,1,DauT,2213,3
Hidden Cup 4,4760,253,2021-03-19,87240.0,K.O. Phase,1,4,dogao,2176,0,29,TheViper,2293,3
Hidden Cup 4,4761,253,2021-03-19,87240.0,K.O. Phase,1,35,vivi,2175,1,16,BacT,2166,3
Hidden Cup 4,4762,253,2021-03-19,87240.0,K.O. Phase,1,31,TaToH,2186,2,28,Hera,2259,3
Hidden Cup 4,4763,253,2021-03-19,87240.0,K.O. Phase,1,25,Liereyy,2262,3,27,Nicov,2164,1
GB Hidden Cup 2,12939,655,2023-11-13,254.0,K.O. Phase,1,1602,rgeadn,1900,0,801,steakmaster,1973,3
GB Hidden Cup 2,12940,655,2023-11-16,254.0,K.O. Phase,1,1603,Aten,1900,1,1060,King_Boo,1956,3
GB Hidden Cup 2,12941,655,2023-11-14,254.0,K.O. Phase,1,613,_hallis,2022,3,729,DanMT,1987,0
GB Hidden Cup 2,12942,655,2023-11-17,254.0,K.O. Phase,1,1123,dave_hun,1971,3,1116,Toady,1906,1
GB Hidden Cup 2,12943,655,2023-11-18,254.0,K.O. Phase,1,166,Fayt,1984,3,663,Chris Pelham,1889,0
GB Hidden Cup 2,12944,655,2023-11-19,254.0,K.O. Phase,1,753,darvoi,1921,3,1228,Capy,1893,2
GB Hidden Cup 2,12945,655,2023-11-19,254.0,K.O. Phase,1,1078,Breakfast,1886,0,1093,Ted,2002,3
GB Hidden Cup 2,12946,655,2023-11-19,254.0,K.O. Phase,1,1185,Aristocats,1896,0,1342,Lewis333,1991,0
Hidden Cup 5,13338,674,2024-02-25,70624.0,K.O. Phase,1,28,Hera,2519,4,79,_Barles_,2325,2
Hidden Cup 5,13339,674,2024-02-25,70624.0,K.O. Phase,1,30,JorDan_23,2395,4,878,Mihai06,2207,1
Hidden Cup 5,13341,674,2024-02-26,70624.0,K.O. Phase,1,26,Hearttt,2305,3,24,MbL,2293,4
Hidden Cup 5,13342,674,2024-02-26,70624.0,K.O. Phase,1,31,TaToH,2449,0,14,ACCM,2353,4
Hidden Cup 5,13343,674,2024-02-27,70624.0,K.O. Phase,1,1,DauT,2387,4,55,Vinchester,2297,2
Hidden Cup 5,13344,674,2024-02-27,70624.0,K.O. Phase,1,29,TheViper,2449,4,19,Yo,2414,1
Hidden Cup 5,13346,674,2024-02-28,70624.0,K.O. Phase,1,936,Sebastian2002,2287,2,12,Sitaux,2326,4
Hidden Cup 5,13347,674,2024-02-28,70624.0,K.O. Phase,1,25,Liereyy,2368,4,458,Ganji,2198,1
Hidden Cup,226,7,,1440.0,Quarter-Finals,2,25,Liereyy,2181,2,2,miguel,1996,3
Hidden Cup,227,7,,1440.0,Quarter-Finals,2,29,TheViper,2290,3,27,Nicov,2114,0
Hidden Cup,228,7,,1440.0,Quarter-Finals,2,24,MbL,2161,3,3,RiuT,2206,2
Hidden Cup,229,7,,1440.0,Quarter-Finals,2,32,slam,2043,3,5,F1Re,2079,1
Hidden Cup 2,1320,88,2019-04-13,10200.0,Quarter-Finals,2,19,Yo,2144,1,52,TheMax,2041,3
Hidden Cup 2,1321,88,2019-04-13,10200.0,Quarter-Finals,2,4,dogao,2069,2,25,Liereyy,2204,3
Hidden Cup 2,1322,88,2019-04-13,10200.0,Quarter-Finals,2,24,MbL,2194,3,33,Tim,2082,0
