name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
Nili's Apartment Cup 1,156,6,,2500.0,Group Stage,1,31,TaToH,2186,1,29,TheViper,2322,4
Nili's Apartment Cup 1,157,6,,2500.0,Group Stage,1,30,JorDan_23,2165,1,24,MbL,2071,4
Nili's Apartment Cup 1,158,6,,2500.0,Group Stage,1,25,Liereyy,2128,4,1,DauT,2131,1
Nili's Apartment Cup 1,159,6,,2500.0,Group Stage,1,24,MbL,2088,2,25,Liereyy,2140,4
Nili's Apartment Cup 1,160,6,,2500.0,Group Stage,1,1,DauT,2119,0,31,TaToH,2179,4
Nili's Apartment Cup 1,161,6,,2500.0,Group Stage,1,29,TheViper,2329,4,30,JorDan_23,2148,0
Nili's Apartment Cup 1,162,6,,2500.0,Group Stage,1,1,DauT,2107,0,24,MbL,2086,4
Nili's Apartment Cup 1,163,6,,2500.0,Group Stage,1,25,Liereyy,2142,2,29,TheViper,2337,4
Nili's Apartment Cup 1,164,6,,2500.0,Group Stage,1,31,TaToH,2191,4,30,JorDan_23,2140,2
Nili's Apartment Cup 1,165,6,,2500.0,Group Stage,1,30,JorDan_23,2138,0,25,Liereyy,2146,4
Nili's Apartment Cup 1,166,6,,2500.0,Group Stage,1,29,TheViper,2333,4,1,DauT,2091,1
Nili's Apartment Cup 1,167,6,,2500.0,Group Stage,1,24,MbL,2102,4,31,TaToH,2193,2
Nili's Apartment Cup 1,168,6,,2500.0,Group Stage,1,1,DauT,2089,1,30,JorDan_23,2122,4
Nili's Apartment Cup 1,169,6,,2500.0,Group Stage,1,31,TaToH,2179,2,25,Liereyy,2162,4
Nili's Apartment Cup 1,170,6,,2500.0,Group Stage,1,24,MbL,2116,4,29,TheViper,2335,3
Nili's Apartment Cup 2,721,58,2019-02-09,14000.0,Group Stage,1,31,TaToH,2135,3,30,JorDan_23,2122,2
Nili's Apartment Cup 2,722,58,2019-02-09,14000.0,Group Stage,1,24,MbL,2170,3,5,F1Re,2084,0
Nili's Apartment Cup 2,723,58,2019-02-09,14000.0,Group Stage,1,25,Liereyy,2192,3,27,Nicov,2116,0
Nili's Apartment Cup 2,724,58,2019-02-09,14000.0,Group Stage,1,29,TheViper,2309,3,1,DauT,2132,0
Nili's Apartment Cup 2,725,58,2019-02-10,14000.0,Group Stage,1,27,Nicov,2107,3,30,JorDan_23,2118,0
Nili's Apartment Cup 2,726,58,2019-02-10,14000.0,Group Stage,1,1,DauT,2126,3,5,F1Re,2075,1
Nili's Apartment Cup 2,727,58,2019-02-10,14000.0,Group Stage,1,25,Liereyy,2201,3,31,TaToH,2139,1
Nili's Apartment Cup 2,728,58,2019-02-10,14000.0,Group Stage,1,29,TheViper,2315,1,24,MbL,2179,3
Nili's Apartment Cup 2,731,58,2019-02-11,14000.0,Group Stage,1,5,F1Re,2071,3,30,JorDan_23,2106,1
Nili's Apartment Cup 2,732,58,2019-02-11,14000.0,Group Stage,1,31,TaToH,2135,3,1,DauT,2130,1
Nili's Apartment Cup 2,733,58,2019-02-11,14000.0,Group Stage,1,29,TheViper,2303,3,27,Nicov,2119,0
Nili's Apartment Cup 2,734,58,2019-02-11,14000.0,Group Stage,1,25,Liereyy,2205,3,24,MbL,2191,1
Nili's Apartment Cup 2,753,58,2019-02-12,14000.0,Group Stage,1,27,Nicov,2113,3,5,F1Re,2079,0
Nili's Apartment Cup 2,754,58,2019-02-12,14000.0,Group Stage,1,30,JorDan_23,2098,0,1,DauT,2122,3
Nili's Apartment Cup 2,755,58,2019-02-12,14000.0,Group Stage,1,25,Liereyy,2213,1,29,TheViper,2309,3
Nili's Apartment Cup 2,756,58,2019-02-12,14000.0,Group Stage,1,24,MbL,2183,3,31,TaToH,2143,1
Nili's Apartment Cup 2,800,58,2019-02-13,14000.0,Group Stage,1,29,TheViper,2313,3,30,JorDan_23,2086,0
Nili's Apartment Cup 2,801,58,2019-02-13,14000.0,Group Stage,1,31,TaToH,2135,3,5,F1Re,2067,0
Nili's Apartment Cup 2,809,58,2019-02-13,14000.0,Group Stage,1,24,MbL,2191,3,27,Nicov,2125,0
Nili's Apartment Cup 2,810,58,2019-02-13,14000.0,Group Stage,1,25,Liereyy,2209,3,1,DauT,2134,1
Clash of the Titans,1154,80,2013-11-30,21200.0,Group Stage,1,29,TheViper,2199,5,58,Lojza,2030,0
Clash of the Titans,1155,80,2013-11-30,21200.0,Group Stage,1,3,RiuT,2160,4,15,saymyname,2046,1
Clash of the Titans,1156,80,2013-12-01,21200.0,Group Stage,1,30,JorDan_23,2144,5,58,Lojza,2020,0
Clash of the Titans,1157,80,2013-12-03,21200.0,Group Stage,1,1,DauT,2158,3,15,saymyname,2039,2
Clash of the Titans,1158,80,2013-12-01,21200.0,Group Stage,1,3,RiuT,2167,0,29,TheViper,2209,5
Clash of the Titans,1159,80,2013-12-04,21200.0,Group Stage,1,29,TheViper,2229,4,15,saymyname,2040,1
Clash of the Titans,1160,80,2013-12-01,21200.0,Group Stage,1,1,DauT,2178,0,30,JorDan_23,2159,5
Clash of the Titans,1161,80,2013-12-08,21200.0,Group Stage,1,58,Lojza,2005,0,1,DauT,2157,5
Clash of the Titans,1162,80,2013-12-08,21200.0,Group Stage,1,58,Lojza,1995,3,15,saymyname,2038,2
Clash of the Titans,1163,80,2013-12-10,21200.0,Group Stage,1,1,DauT,2167,3,3,RiuT,2143,2
Clash of the Titans,1164,80,2013-12-17,21200.0,Group Stage,1,30,JorDan_23,2192,4,15,saymyname,2034,1
Clash of the Titans,1165,80,2013-12-20,21200.0,Group Stage,1,29,TheViper,2222,5,1,DauT,2171,0
Clash of the Titans,1166,80,2013-12-08,21200.0,Group Stage,1,30,JorDan_23,2179,3,29,TheViper,2231,2
Clash of the Titans,1167,80,2013-12-08,21200.0,Group Stage,1,30,JorDan_23,2188,3,3,RiuT,2147,2
Clash of the Titans,1168,80,2013-12-12,21200.0,Group Stage,1,3,RiuT,2139,3,58,Lojza,1999,2
Brain Champion Cup 3,1220,86,2010-04-09,11400.0,Group Stage,1,176,Cain,2048,5,3,RiuT,2096,3
Brain Champion Cup 3,1221,86,2010-04-17,11400.0,Group Stage,1,3,RiuT,2080,5,4,dogao,2036,0
Brain Champion Cup 3,1222,86,2010-04-19,11400.0,Group Stage,1,33,Tim,2108,5,142,Alive,2057,2
Brain Champion Cup 3,1223,86,2010-04-18,11400.0,Group Stage,1,1,DauT,2221,5,176,Cain,2064,0
