,player_1_id,player_2_id,id,player_id,num_matches,num_wins,num_games,tournament_ids,last_match,last_match_time,rank,elo,elo_update,elo_peak,de_elo,de_rank,de_update,voobly_elo,voobly_rank,voobly_update
0,4.0,51.0,1,4,398,233,1317,"14,15,18,19,24,28,31,36,39,44,47,57,61,66,75,80,82,83,85,86,88,89,93,101,103,107,109,150,153,163,169,170,180,187,188,194,201,213,216,218,219,237,249,253,262,264,290,297,299,305,312,315,321,324,329,330,332,333,338,339,345,346,359,365,373,374,381,383,386,387,389,390,391,392,395,397,398,401,404,469,471,479,489,494,503,512,521,522,523,525,526,529,533,552,559,561,563,565,583,584,585,591,596,603,604,606,611,618,621,622,623,627,639,641,645,649,650,651,654,656,669",13527.0,2024-03-29 00:00:00,18.0,2253,2024-04-11 01:22:26,2282.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
45,5.0,35.0,2,5,287,161,929,"2,4,7,8,9,12,15,18,21,25,26,28,36,39,56,57,58,59,60,61,67,69,72,80,84,89,101,102,103,107,153,163,167,168,169,213,214,218,219,237,247,262,267,290,291,293,297,298,304,309,312,315,321,325,328,330,332,339,343,345,346,363,381,387,389,391,397,398,403,404,405,469,471,473,476,488,494,503,512,519,521,525,526,533,548,552,559,561,563,564,579,583,584,606,611,623,627,633,640,649,651,654,656,669,691",13637.0,2024-04-07 00:00:00,35.0,2141,2024-04-11 01:22:26,2187.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
61,8.0,55.0,4,8,50,27,172,"4,8,9,30,33,35,51,52,59,77,79,80,101,102,155,256",133.0,2018-12-25 23:59:59,,2007,2024-04-11 01:22:26,2062.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
66,14.0,25.0,6,14,528,343,1739,"2,3,4,8,9,12,14,19,24,26,30,32,34,36,37,40,47,56,61,62,66,75,88,91,93,94,96,101,103,104,150,153,155,163,165,167,169,172,180,181,190,193,195,196,197,208,213,214,216,219,223,225,226,227,228,231,237,239,241,243,247,249,253,254,262,265,267,295,299,305,307,310,315,317,318,319,321,324,330,336,338,345,349,351,353,358,359,360,366,373,376,381,382,383,385,387,389,390,391,392,393,394,395,401,403,405,406,469,471,474,476,477,484,489,494,497,503,507,513,518,519,521,522,523,525,533,535,536,541,552,561,563,564,566,575,584,585,596,599,604,614,623,627,631,645,651,654,665,674,688",13527.0,2024-03-29 00:00:00,8.0,2375,2024-04-11 01:22:26,2397.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
121,15.0,50.0,7,15,261,122,799,"2,3,4,15,16,19,24,26,31,34,37,44,56,65,66,67,75,80,89,94,101,103,109,150,153,166,167,168,171,173,174,175,178,182,184,193,195,196,197,214,219,223,227,231,238,247,254,262,263,265,291,296,298,304,307,309,315,319,321,322,324,328,330,332,333,336,343,345,353,355,363,376,378,387,390,392,403,404,405,420,473,475,494,503,512,552,559,564,565,579,584,622,627,645,656,669,691",13517.0,2024-03-28 00:00:00,57.0,2077,2024-04-11 01:22:26,2175.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
136,17.0,142.0,8,17,13,5,46,"14,21,34,66,80,92,103",1328.0,2019-04-19 00:00:00,,1995,2024-04-11 01:22:26,1999.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
137,18.0,55.0,9,18,239,128,804,"2,4,8,9,15,18,25,30,31,33,35,36,37,38,51,52,53,54,59,63,66,67,75,79,80,83,89,96,101,102,150,153,165,166,167,168,176,181,192,200,209,213,214,218,219,237,238,241,247,290,291,293,295,298,301,304,309,315,319,321,324,325,330,339,343,353,374,389,471,503,552,559,564,566,579,583,590,595,611,621,623,627,633,645,650,656,666,669,682,691",13524.0,2024-03-30 00:00:00,44.0,2107,2024-04-11 01:22:26,2129.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
143,19.0,3.0,10,19,360,252,1412,"2,4,7,12,14,15,16,17,19,24,32,34,50,56,57,65,70,71,80,83,84,88,93,94,95,96,101,103,108,159,163,169,184,198,201,212,216,219,229,233,239,245,253,262,267,280,299,305,310,315,328,330,338,345,353,366,373,381,383,387,388,390,391,392,397,401,403,405,474,477,489,497,503,513,517,522,525,529,535,536,541,552,561,564,566,575,589,596,604,614,622,624,631,641,654,665,674",13344.0,2024-02-27 00:00:00,4.0,2402,2024-04-11 01:22:26,2422.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
248,21.0,16.0,11,21,125,64,389,"2,4,30,32,36,44,57,67,89,93,94,96,153,167,168,213,219,232,238,245,247,249,262,332,333,343,353,387,392,403,469,471,494,503,505,512,517,525,526,552,559,584,603,604,669,691",13636.0,2024-04-07 00:00:00,42.0,2115,2024-04-11 01:22:26,2146.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
251,22.0,8.0,12,22,2,1,8,80,1141.0,2013-11-03 00:00:00,,1900,2024-04-11 01:22:26,1909.0,,,2023-07-09 02:00:20,1970.0,,2023-07-09 02:00:20
