User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
Bvirus,Bruno,Portugal,,Retired,2003 - 2015,,Tsunami,$758,Age of Empires II(inactive)Age of Empires III(inactive),,,,
GeeK,Piers Jolley,United Kingdom,,Retired,2001 - 2006,,"Tea, Tui_Dominus_, _ArtOfZilla","$6,480",Age of Empires II(inactive)Age of Empires III(inactive)Age of Mythology(inactive),,,,
Noisick,Andrés Quiroz,Chile,"August 28, 1996 (age 27)",Active,2012 - Present,Team Honor,"_Just_Thrash_, LentoRodriguez_, DysonSphere_, Pantaloncito, ElAutito_, Marrow_","$2,138",Age of Empires II(inactive),2016(current)2075(highest),"['https://www.instagram.com/noisick_', 'https://steamcommunity.com/profiles/76561199096937186', 'https://www.twitch.tv/noisick_aoe', 'https://aoezone.net/members/noisick.60071']",,2200(highest)
Cyclops,Erhan,Turkey,1984 (age 39-40),Active,2003-201020192021 - Present,Hot Young Masters,"Erhan, Turkey, MaLoN_MutanT, Glor1ouS_, The_Rythm, W1ndsword","$1,643",Age of Empires IIAge of Empires IV(inactive),,"['https://discord.gg/p7ZXSVR2PJ', 'https://www.instagram.com/hym_seeker', 'https://www.twitch.tv/cyclopsaoe', 'https://aoezone.net/members/cyclops.14949']",,2336(highest)
CooL,Huy Nguyễn,Vietnam,"September  1, 1992 (age 31)",Active,2011 - Present,Vietnam Legends,CooL92,"$5,895",Age of Empires IAge of Empires II(inactive)Age of Empires IV,,"['https://facebook.com/profile.php?id=100000161402129', 'https://www.twitch.tv/vnscool', 'https://www.youtube.com/channel/UCr5TmYmhh6EkunbRp_-wbzQ', 'https://aoezone.net/members/vns_cool_.11915']",,2374(highest)
Andrew_(Hungarian_player),András Kassai,Hungary,"August 23, 1983 (age 40)",Active,2001 - 201220182020 - Present,,"Feynman, metaheuristic, rpt_Revival2005",$276,Age of Empires II(inactive),,,,2160(highest)
Crexis,,Canada,,Retired,,,,"$3,050",Age of Empires II(inactive),,,,
Emalius2,,Finland,,Active,,,emalius,$381,Age of Empires II,1941(current)1992(highest),['https://aoezone.net/members/emalius2.44615'],,
Ronotovi,Alican,Turkey,,Active,,Hot Young Masters,"m3lankolia, f4bi0, alican_v2, rono",$612,Age of Empires II,1942(current)1992(highest),"['https://steamcommunity.com/profiles/76561198171669473', 'https://aoezone.net/members/m3lankolia.35807']",,
SeOul,,Vietnam,,Active,,,"VNS_SeOul, SeOul_kr, _Marcelo_, Impostor, SaNtA","$2,554",Age of Empires II(inactive),,['https://aoezone.net/members/marcelo_kr_.46200'],,2144(highest)
DarK_KnighT,Mario,Mexico,,Active,,Vikingos Nómadas,,$319,Age of Empires II,1959(current)2004(highest),"['https://steamcommunity.com/profiles/76561198112235172', 'https://aoezone.net/members/vn_dark_knight_.13267']",,2130(highest)
BacT,Biên Ha,Vietnam,"August  1, 1990 (age 33)",Inactive,2007 - 2023,Vietnam Legends,"8euro, Bacgioifro, bacty, Barry","$33,985",Age of Empires II(inactive)Age of Empires IV(inactive),,"['https://discord.gg/gksW6fh', 'https://facebook.com/TyRanTbacT', 'https://steamcommunity.com/id/bacty', 'https://twitter.com/tyrant_bact', 'https://www.twitch.tv/bact_', 'https://www.youtube.com/channel/UCScpQlZKVLdPMFBdd1gXbRQ', 'https://aoezone.net/members/bact.17765']",['Clan Masters: Invitational'],2575(highest)
Target331,,Germany,,Active,,,,$523,Age of Empires II,2075(current)2085(highest),,,
