name,id,tournament_id,prizemoney,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2,hidden,s-tier
Arabia Invitational,1,15,3000.0,Group Stage,1,29,TheViper,2379,3,18,St4rk,2038,2,False,False
Arabia Invitational,2,15,3000.0,Group Stage,1,50,Zuppi,2089,3,28,Hera,2446,2,False,False
Arabia Invitational,3,15,3000.0,Group Stage,1,35,vivi,2234,2,54,yinghua,2023,3,False,False
Arabia Invitational,4,15,3000.0,Group Stage,1,29,TheViper,2379,3,50,Zuppi,2089,2,False,False
Arabia Invitational,5,15,3000.0,Group Stage,1,18,St4rk,2038,3,35,vivi,2234,1,False,False
Arabia Invitational,6,15,3000.0,Group Stage,1,18,St4rk,2038,3,54,yinghua,2023,1,False,False
Arabia Invitational,7,15,3000.0,Group Stage,1,35,vivi,2234,0,50,Zuppi,2089,3,False,False
Arabia Invitational,8,15,3000.0,Group Stage,1,29,TheViper,2379,3,54,yinghua,2023,2,False,False
Arabia Invitational,9,15,3000.0,Group Stage,1,18,St4rk,2038,3,50,Zuppi,2089,1,False,False
Arabia Invitational,10,15,3000.0,Group Stage,1,29,TheViper,2379,3,35,vivi,2234,1,False,False
Arabia Invitational,11,15,3000.0,Group Stage,1,50,Zuppi,2089,3,54,yinghua,2023,2,False,False
Arabia Invitational,12,15,3000.0,Group Stage,1,19,Yo,2354,3,5,F1Re,2146,1,False,False
Arabia Invitational,13,15,3000.0,Group Stage,1,7,GoKu,1958,2,4,dogao,2231,3,False,False
Arabia Invitational,14,15,3000.0,Group Stage,1,56,8th_wonder,1998,0,55,Vinchester,2331,3,False,False
Arabia Invitational,15,15,3000.0,Group Stage,1,19,Yo,2354,3,56,8th_wonder,1998,1,False,False
Arabia Invitational,16,15,3000.0,Group Stage,1,55,Vinchester,2331,3,7,GoKu,1958,1,False,False
Arabia Invitational,17,15,3000.0,Group Stage,1,5,F1Re,2146,3,4,dogao,2231,2,False,False
Arabia Invitational,18,15,3000.0,Group Stage,1,19,Yo,2354,3,55,Vinchester,2331,0,False,False
Arabia Invitational,19,15,3000.0,Group Stage,1,5,F1Re,2146,3,7,GoKu,1958,0,False,False
Arabia Invitational,20,15,3000.0,Group Stage,1,56,8th_wonder,1998,1,4,dogao,2231,3,False,False
Arabia Invitational,21,15,3000.0,Group Stage,1,19,Yo,2354,3,7,GoKu,1958,2,False,False
Arabia Invitational,22,15,3000.0,Group Stage,1,5,F1Re,2146,3,56,8th_wonder,1998,1,False,False
Arabia Invitational,23,15,3000.0,Group Stage,1,19,Yo,2354,3,4,dogao,2231,0,False,False
Arabia Invitational,24,15,3000.0,Group Stage,1,5,F1Re,2146,2,55,Vinchester,2331,3,False,False
Arabia Invitational,25,15,3000.0,Group Stage,1,7,GoKu,1958,2,56,8th_wonder,1998,3,False,False
Arabia Invitational,26,15,3000.0,Group Stage,1,3,RiuT,2155,3,6,mentalist,2029,1,False,False
Arabia Invitational,27,15,3000.0,Group Stage,1,33,Tim,2058,3,34,CL_,2014,2,False,False
Arabia Invitational,29,15,3000.0,Group Stage,1,24,MbL,2264,1,32,slam,2146,3,False,False
Arabia Invitational,30,15,3000.0,Group Stage,1,3,RiuT,2155,3,24,MbL,2264,1,False,False
Arabia Invitational,31,15,3000.0,Group Stage,1,33,Tim,2058,3,6,mentalist,2029,2,False,False
Arabia Invitational,33,15,3000.0,Group Stage,1,3,RiuT,2155,3,34,CL_,2014,1,False,False
Arabia Invitational,34,15,3000.0,Group Stage,1,33,Tim,2058,2,32,slam,2146,3,False,False
Arabia Invitational,35,15,3000.0,Group Stage,1,24,MbL,2264,1,6,mentalist,2029,3,False,False
Arabia Invitational,36,15,3000.0,Group Stage,1,3,RiuT,2155,3,32,slam,2146,1,False,False
Arabia Invitational,37,15,3000.0,Group Stage,1,34,CL_,2014,2,6,mentalist,2029,3,False,False
Arabia Invitational,38,15,3000.0,Group Stage,1,6,mentalist,2029,3,32,slam,2146,1,False,False
Arabia Invitational,39,15,3000.0,Group Stage,1,16,BacT,2129,3,15,saymyname,2071,0,False,False
Arabia Invitational,40,15,3000.0,Group Stage,1,1,DauT,2286,1,58,Lojza,2073,3,False,False
Arabia Invitational,41,15,3000.0,Group Stage,1,59,Whoop,2006,3,60,Chris,2062,2,False,False
Arabia Invitational,42,15,3000.0,Group Stage,1,16,BacT,2129,2,59,Whoop,2006,3,False,False
Arabia Invitational,43,15,3000.0,Group Stage,1,58,Lojza,2073,0,60,Chris,2062,3,False,False
Arabia Invitational,44,15,3000.0,Group Stage,1,1,DauT,2286,3,15,saymyname,2071,1,False,False
Arabia Invitational,45,15,3000.0,Group Stage,1,16,BacT,2129,1,1,DauT,2286,3,False,False
Arabia Invitational,46,15,3000.0,Group Stage,1,59,Whoop,2006,3,58,Lojza,2073,1,False,False
Arabia Invitational,47,15,3000.0,Group Stage,1,60,Chris,2062,3,15,saymyname,2071,0,False,False
