User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
Vodka_L,Isaias Tomassi,Italy,"November 28, 1996 (age 27)",Active,2012 - 20162019 - Present,Rulers of Rome,Gengis_Khan,"$5,418",Age of Empires I(inactive)Age of Empires IIAge of Empires IV,2105(current)2166(highest),"['https://discord.gg/395RjNj', 'https://www.instagram.com/isaiastomassi/?hl=en', 'https://steamcommunity.com/profiles/76561198186899749', 'https://www.twitch.tv/vodka_l_', 'https://aoezone.net/members/vodka_l_.56577']",,2313(highest)
JuanNNN,,Argentina,,Retired,,,"Afrodita, Juanuu, Laramie, Marsella","$1,262",Age of Empires II(inactive),,['https://aoezone.net/members/juannnn.32734'],,
Lojza,,Czechia,,Retired,2011 - 2019,,,"$3,167",Age of Empires II(inactive),,['https://aoezone.net/members/ww-lojza_.30187'],,
Bvirus,Bruno,Portugal,,Retired,2003 - 2015,,Tsunami,$758,Age of Empires II(inactive)Age of Empires III(inactive),,,,
VicVega,Rodrigo,Mexico,"July 15, 1986 (age 38)",Retired,2004 - 2014,,"Cerberus, LA_OVEJA_NEGRA, BuddSideW, MarsVolta",$383,Age of Empires II(inactive),,,,2446(highest)
Uno1,Javier Fulleringer,Argentina,,Active,,Team Maswi,"Fuller, uno1",$243,Age of Empires II,1955(current)1998(highest),"['https://steamcommunity.com/profiles/76561199044067231', 'https://aoezone.net/members/uno1.101851']",,
RAYAN,Рауан Жангабатыр,Kazakhstan,"November 14, 1981 (age 42)",Retired,1999 - 2003,,"MalevolentFury, RaYaN, RAYAN","$2,450",Age of Empires II(inactive)Age of Empires III(inactive),,,,
Kasva,Yunus Özdemir,Turkey,"March 11, 1994 (age 30)",Active,2009 - Present,,K4SVA,"$20,217",Age of Empires IIAge of Empires IV,2121(current)2148(highest),"['https://discord.gg/CETwWEp', 'https://www.instagram.com/Kasvaoe', 'https://steamcommunity.com/profiles/76561198368620113', 'https://twitter.com/kasvaoe', 'https://www.twitch.tv/kasvaoe', 'https://www.youtube.com/channel/UCFAiCVX7VqQaqGBPAxLRKnQ', 'https://aoezone.net/members/kasva.83730']",,2298(highest)
Abe,Abraham,Mexico,,Retired,2004 - 2012,,"MexicanSun, XMexicanx, MuMMy, xMexicanx, _RooKWalleR_, Chic0","$1,120",Age of Empires II(inactive),,,['World Clan League 5'],
Millo,Javier Leyes,Argentina,"August  8, 1988 (age 35)",Retired,2001 - Present,Vikingos Nómadas,MoOniTe,$506,Age of Empires II(inactive),,"['https://steamcommunity.com/profiles/76561198085776585', 'https://aoezone.net/members/millo.10858']",,2120(highest)
Cyclops,Erhan,Turkey,1984 (age 39-40),Active,2003-201020192021 - Present,Hot Young Masters,"Erhan, Turkey, MaLoN_MutanT, Glor1ouS_, The_Rythm, W1ndsword","$1,643",Age of Empires IIAge of Empires IV(inactive),2043(current)2052(highest),"['https://discord.gg/p7ZXSVR2PJ', 'https://www.instagram.com/hym_seeker', 'https://www.twitch.tv/cyclopsaoe', 'https://aoezone.net/members/cyclops.14949']",,2336(highest)
Chun_Yu,Chun Yu Shing,Hong Kong,"October 22, 1986 (age 37)",Retired,2001 - 2007,,Yanzi,"$11,884",Age of Empires II(inactive)Age of Empires III(inactive)Age of Mythology(inactive),,,"['Masters of AoC: 1v1', 'World Clan League', 'World Clan League 4']",
