id,tournament,tier,url,prizepool
696,Thalassocracy Cup,A-Tier,https://aoe-elo.com/tournament/696/Thalassocracy-Cup,$3400
700,All Visible Cup,B-Tier,https://aoe-elo.com/tournament/700/All-Visible-Cup,$632
672,KIT SC Plünderparty - Saison 8,C-Tier,https://aoe-elo.com/tournament/672/KIT-SC-Pl--nderparty---Saison-8,N/A
698,Argeking Cup 5,B-Tier,https://aoe-elo.com/tournament/698/Argeking-Cup-5,$465
701,Torneo de las 12 casas 2: Cancer,Monthly (C-Tier),https://aoe-elo.com/tournament/701/Torneo-de-las-12-casas-2--Cancer,$70
702,Ivanenko's Arabia Cup,B-Tier,https://aoe-elo.com/tournament/702/Ivanenko-s-Arabia-Cup,$400
703,World Rumble 2,NaN,https://aoe-elo.com/tournament/703/World-Rumble-2,N/A
686,India 1v1 Cup,B-Tier,https://aoe-elo.com/tournament/686/India-1v1-Cup,N/A
704,Championnat Francophone: Saison 9,C-Tier,https://aoe-elo.com/tournament/704/Championnat-Francophone--Saison-9,$107
688,SuperDr4ft,B-Tier,https://aoe-elo.com/tournament/688/SuperDr4ft,N/A
690,Torneo de las 12 casas 2: Gemini,Monthly (C-Tier),https://aoe-elo.com/tournament/690/Torneo-de-las-12-casas-2--Gemini,$70
691,World Rumble 2 Qualifier,Qualifier (A-Tier),https://aoe-elo.com/tournament/691/World-Rumble-2-Qualifier,N/A
697,Argeking Cup 5: Qualifier,Qualifier (B-Tier),https://aoe-elo.com/tournament/697/Argeking-Cup-5--Qualifier,N/A
692,The Forgotten,NaN,https://aoe-elo.com/tournament/692/The-Forgotten,N/A
689,Hidden Cup Türkiye,B-Tier,https://aoe-elo.com/tournament/689/Hidden-Cup-T--rkiye,N/A
699,Justas Criollas: Showmatch,C-Tier,https://aoe-elo.com/tournament/699/Justas-Criollas--Showmatch,$117
693,Ankka Cup 2024,C-Tier,https://aoe-elo.com/tournament/693/Ankka-Cup-2024,$380
694,Rusaoc Cup 129: Arabia,Weekly (C-Tier),https://aoe-elo.com/tournament/694/Rusaoc-Cup-129--Arabia,$109
687,Queen's Clash 3,NaN,https://aoe-elo.com/tournament/687/Queen-s-Clash-3,N/A
695,Alchemy League 1,C-Tier,https://aoe-elo.com/tournament/695/Alchemy-League-1,$130
678,AoC Cup,Charity (Misc),https://aoe-elo.com/tournament/678/AoC-Cup,N/A
675,Copa México 2024,B-Tier,https://aoe-elo.com/tournament/675/Copa-M--xico-2024,N/A
685,Swidden Cup,B-Tier,https://aoe-elo.com/tournament/685/Swidden-Cup,N/A
681,Rusaoc Cup 128: Four Lakes,Weekly (C-Tier),https://aoe-elo.com/tournament/681/Rusaoc-Cup-128--Four-Lakes,$110
677,Hidden zZ,C-Tier,https://aoe-elo.com/tournament/677/Hidden-zZ,$200
674,Hidden Cup 5,S-Tier,https://aoe-elo.com/tournament/674/Hidden-Cup-5,$70624
684,Torneo de las 12 casas 2: Taurus,Monthly (C-Tier),https://aoe-elo.com/tournament/684/Torneo-de-las-12-casas-2--Taurus,$71
671,ArgenLeague 2,B-Tier,https://aoe-elo.com/tournament/671/ArgenLeague-2,N/A
668,AoE Leagues: Season 9,C-Tier,https://aoe-elo.com/tournament/668/AoE-Leagues--Season-9,N/A
680,Rusaoc Cup 127: Beachfight,Weekly (C-Tier),https://aoe-elo.com/tournament/680/Rusaoc-Cup-127--Beachfight,$107
676,1v1 Arabia HunCup 2024,NaN,https://aoe-elo.com/tournament/676/1v1-Arabia-HunCup-2024,N/A
682,The Map - St4rk Edition,Monthly (C-Tier),https://aoe-elo.com/tournament/682/The-Map---St4rk-Edition,$100
645,Clash of the Titans: 10-Year Anniversary,B-Tier,https://aoe-elo.com/tournament/645/Clash-of-the-Titans--10-Year-Anniversary,$755
669,Hidden Cup V Qualifier,Qualifier (S-Tier),https://aoe-elo.com/tournament/669/Hidden-Cup-V-Qualifier,N/A
679,Rusaoc Cup 126: Nomad,Weekly (C-Tier),https://aoe-elo.com/tournament/679/Rusaoc-Cup-126--Nomad,$109
683,Torneo de las 12 casas 2: Aries,Monthly (C-Tier),https://aoe-elo.com/tournament/683/Torneo-de-las-12-casas-2--Aries,$73
667,Hera's Colosseum - NAC 5 Edition,NaN,https://aoe-elo.com/tournament/667/Hera-s-Colosseum---NAC-5-Edition,N/A
666,The Map - Pinch3Terneira Edition,Monthly (C-Tier),https://aoe-elo.com/tournament/666/The-Map---Pinch3Terneira-Edition,N/A
660,The Chosen Ones 2,C-Tier,https://aoe-elo.com/tournament/660/The-Chosen-Ones-2,$150
665,Nili's Apartment Cup V,NaN,https://aoe-elo.com/tournament/665/Nili-s-Apartment-Cup-V,N/A
664,Rusaoc Cup 125: Final of the Year 2023,Weekly (B-Tier),https://aoe-elo.com/tournament/664/Rusaoc-Cup-125--Final-of-the-Year-2023,N/A
636,Hera's Colosseum - Warlords 2 Edition,NaN,https://aoe-elo.com/tournament/636/Hera-s-Colosseum---Warlords-2-Edition,N/A
654,AoE2 Middle East Tournament,A-Tier,https://aoe-elo.com/tournament/654/AoE2-Middle-East-Tournament,N/A
658,The Most Powerful Knight,Monthly (C-Tier),https://aoe-elo.com/tournament/658/The-Most-Powerful-Knight,$88
663,Rusaoc Cup 124: Hideout,Weekly (C-Tier),https://aoe-elo.com/tournament/663/Rusaoc-Cup-124--Hideout,$119
657,Road to Hidden Cup Italia - Autunno,C-Tier,https://aoe-elo.com/tournament/657/Road-to-Hidden-Cup-Italia---Autunno,$154
661,Trofeu Sant Jordi,C-Tier,https://aoe-elo.com/tournament/661/Trofeu-Sant-Jordi,$221
